date,cum_tests,daily_tests,daily_cases,community,quarantine,investigated
24-Aug-21,"351,798","2,048",30,11,13,6
23-Aug-21,"349,750","7,630",16,3,13,0
22-Aug-21,"342,120","6,273",19,6,13,0
21-Aug-21,"335,847","8,332",8,0,8,0
20-Aug-21,"327,515","7,403",11,11,0,0
19-Aug-21,"320,112","7,023",16,16,0,0
18-Aug-21,"313,089","7,991",22,22,0,0
17-Aug-21,"305,098","5,982",17,17,0,0
16-Aug-21,"299,116","7,641",19,19,0,0
15-Aug-21,"291,475","4,068",3,2,0,0
14-Aug-21,"287,407","2,422",1,2,0,0
13-Aug-21,"284,985",982,4,1,0,0
12-Aug-21,"284,003","1,819",1,4,0,0
11-Aug-21,"282,184","1,395",0,0,0,0
10-Aug-21,"280,789","1,556",0,0,0,0
9-Aug-21,"279,233",680,0,0,0,0
8-Aug-21,"278,553",811,0,0,0,0
7-Aug-21,"277,742","1,085",0,0,0,0
6-Aug-21,"276,657","1,836",0,0,0,0
5-Aug-21,"274,821","1,060",0,0,0,0
4-Aug-21,"273,761","1,085",0,0,0,0
3-Aug-21,"272,676","1,243",0,0,0,0
2-Aug-21,"271,433","1,726",0,0,0,0
1-Aug-21,"269,707",478,0,0,0,0
31-Jul-21,"269,229",815,0,0,0,0
30-Jul-21,"268,414","1,137",0,0,0,0
29-Jul-21,"267,277","1,067",0,0,0,0
28-Jul-21,"266,210","1,462",0,0,0,0
27-Jul-21,"264,748","1,291",0,0,0,0
26-Jul-21,"263,457",785,0,0,0,0
25-Jul-21,"262,672",664,0,0,0,0
24-Jul-21,"262,008",918,0,0,0,0
23-Jul-21,"261,090","1,146",0,0,0,0
22-Jul-21,"259,944",951,0,0,0,0
21-Jul-21,"258,993","1,327",0,0,0,0
20-Jul-21,"257,666",931,0,0,0,0
19-Jul-21,"256,735",983,0,0,0,0
18-Jul-21,"255,752",592,0,0,0,0
17-Jul-21,"255,160","1,034",0,0,0,0
16-Jul-21,"254,126","1,084",0,0,0,0
15-Jul-21,"253,042","1,087",0,0,0,0
14-Jul-21,"251,955","1,215",0,0,0,0
13-Jul-21,"250,740","1,357",0,0,0,0
12-Jul-21,"249,383",578,0,0,0,0
11-Jul-21,"248,805",452,0,0,0,0
10-Jul-21,"248,353",565,0,0,0,0
9-Jul-21,"247,788",883,0,0,0,0
8-Jul-21,"246,905",867,0,0,0,0
7-Jul-21,"246,038","1,303",0,0,0,0
6-Jul-21,"244,735","1,319",0,0,0,0
5-Jul-21,"243,416",663,0,0,0,0
4-Jul-21,"242,753",647,0,0,0,0
3-Jul-21,"242,106","1,142",0,0,0,0
2-Jul-21,"240,964","1,281",0,0,0,0
1-Jul-21,"239,683","1,645",0,0,0,0
