DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,Notes: 
Auckland Metro,Asian,12-15,Female,"8,023",678,"9,507",844,71,,"DHB of residence refers to the DHB where the individual resides, not the DHB where the vaccination was administered ."
Auckland Metro,Asian,12-15,Male,"8,450",711,"10,290",821,69,,"Where a population number is less than 5, the record is suppressed to protect individual privacy, as a result, totals of individual records may not sum to gross figures.  These values have been summed into a single row with the header ""Various""."
Auckland Metro,Asian,12-15,Unknown/Other,13,0,8,"1,625",250,,The uptake statistics are provided as examples of how to calculate uptake. It is not recommended to use detailed uptake statistics for analysis because small variations will lead to very high or low uptakes with a small denominator. Detailed data is provided here to allow aggregations to be done across various dimensions.
Auckland Metro,Asian,16-19,Female,"8,283","2,653","8,658",957,306,,
Auckland Metro,Asian,16-19,Male,"8,631","2,622","8,838",977,297,,
Auckland Metro,Asian,16-19,Unknown/Other,76,35,20,"3,800","1,750",,
Auckland Metro,Asian,20-24,Female,"12,101","5,445","13,119",922,415,,
Auckland Metro,Asian,20-24,Male,"13,069","4,941","13,140",995,376,,
Auckland Metro,Asian,20-24,Unknown/Other,144,49,26,"5,538","1,885",,
Auckland Metro,Asian,25-29,Female,"18,058","8,913","22,261",811,400,,
Auckland Metro,Asian,25-29,Male,"20,231","9,002","21,122",958,426,,
Auckland Metro,Asian,25-29,Unknown/Other,220,103,52,"4,231","1,981",,
Auckland Metro,Asian,30-34,Female,"23,279","11,899","27,585",844,431,,
Auckland Metro,Asian,30-34,Male,"23,588","11,666","24,463",964,477,,
Auckland Metro,Asian,30-34,Unknown/Other,235,108,58,"4,052","1,862",,
Auckland Metro,Asian,35-39,Female,"22,481","12,067","26,042",863,463,,
Auckland Metro,Asian,35-39,Male,"22,385","11,720","23,286",961,503,,
Auckland Metro,Asian,35-39,Unknown/Other,122,74,39,"3,128","1,897",,
Auckland Metro,Asian,40-44,Female,"16,820","9,983","17,625",954,566,,
Auckland Metro,Asian,40-44,Male,"17,156","10,188","16,424","1,045",620,,
Auckland Metro,Asian,40-44,Unknown/Other,142,87,30,"4,733","2,900",,
Auckland Metro,Asian,45-49,Female,"13,331","8,294","14,609",913,568,,
Auckland Metro,Asian,45-49,Male,"12,533","7,922","12,775",981,620,,
