date,state,new_cases,total_cases,net_change,hosp,icu,vent,active_cases,smooth_cases,hosp_ratio,as_at
2020-02-29,act,0,0,0,0,0,0,NA,NA,NA,2022-01-28
2020-03-01,act,0,0,0,0,0,0,NA,NA,NA,2022-01-28
2020-03-02,act,0,0,0,0,0,0,NA,NA,NA,2022-01-28
2020-03-03,act,0,0,0,0,0,0,NA,NA,NA,2022-01-28
2020-03-04,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-05,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-06,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-07,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-08,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-09,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-10,act,0,0,0,0,0,0,NA,0,NA,2022-01-28
2020-03-11,act,1,1,1,0,0,0,NA,0.2,NA,2022-01-28
2020-03-12,act,0,1,0,0,0,0,NA,0.2,NA,2022-01-28
2020-03-13,act,0,1,0,0,0,0,1,0.2,0,2022-01-28
2020-03-14,act,0,1,0,0,0,0,1,0.2,0,2022-01-28
2020-03-15,act,1,2,1,0,0,0,2,0.4,0,2022-01-28
2020-03-16,act,0,2,0,0,0,0,2,0.2,0,2022-01-28
2020-03-17,act,1,3,1,0,0,0,3,0.4,0,2022-01-28
2020-03-18,act,1,4,1,0,0,0,4,0.6,0,2022-01-28
2020-03-19,act,2,6,2,0,0,0,6,1,0,2022-01-28
2020-03-20,act,3,9,3,0,0,0,9,1.4,0,2022-01-28
2020-03-21,act,10,19,10,0,0,0,19,3.4,0,2022-01-28
2020-03-22,act,13,32,13,0,0,0,32,5.8,0,2022-01-28
2020-03-23,act,7,39,7,0,0,0,39,7,0,2022-01-28
2020-03-24,act,5,44,5,0,0,0,44,7.6,0,2022-01-28
2020-03-25,act,9,53,9,0,0,0,52,8.8,0,2022-01-28
2020-03-26,act,9,62,9,0,0,0,61,8.6,0,2022-01-28
2020-03-27,act,9,71,9,0,0,0,70,7.8,0,2022-01-28
2020-03-28,act,7,77,6,0,0,0,77,7.8,0,2022-01-28
2020-03-29,act,1,78,1,0,0,0,77,7,0,2022-01-28
2020-03-30,act,3,80,2,0,0,0,80,5.8,0,2022-01-28
2020-03-31,act,5,84,4,9,0,0,84,5,0.10714285714285714,2022-01-28
2020-04-01,act,4,87,3,8,4,0,87,4,0.09195402298850575,2022-01-28
2020-04-02,act,4,91,4,9,2,0,89,3.4,0.10112359550561797,2022-01-28
2020-04-03,act,2,93,2,13,2,0,88,3.6,0.14772727272727273,2022-01-28
2020-04-04,act,3,96,3,6,3,0,81,3.6,0.07407407407407407,2022-01-28
2020-04-05,act,0,96,0,7,3,0,68,2.6,0.10294117647058823,2022-01-28
