date,state,second_doses,full_per,change,as_at
2021-03-22,act,NA,NA,NA,2021-12-24
2021-03-22,qld,NA,NA,NA,2021-12-24
2021-03-22,nsw,NA,NA,NA,2021-12-24
2021-03-22,vic,3369,0.06,NA,2021-12-24
2021-03-23,act,NA,NA,NA,2021-12-24
2021-03-23,qld,NA,NA,NA,2021-12-24
2021-03-23,nsw,NA,NA,NA,2021-12-24
2021-03-23,vic,4362,0.08,0.02,2021-12-24
2021-03-24,act,NA,NA,NA,2021-12-24
2021-03-24,qld,NA,NA,NA,2021-12-24
2021-03-24,nsw,NA,NA,NA,2021-12-24
2021-03-24,vic,5709,0.1,0.02,2021-12-24
2021-03-25,act,NA,NA,NA,2021-12-24
2021-03-25,qld,NA,NA,NA,2021-12-24
2021-03-25,nsw,NA,NA,NA,2021-12-24
2021-03-25,vic,6797,0.12,0.02,2021-12-24
2021-03-26,act,NA,NA,NA,2021-12-24
2021-03-26,qld,NA,NA,NA,2021-12-24
2021-03-26,nsw,NA,NA,NA,2021-12-24
2021-03-26,vic,7874,0.14,0.02,2021-12-24
2021-03-27,act,NA,NA,NA,2021-12-24
2021-03-27,qld,NA,NA,NA,2021-12-24
2021-03-27,nsw,NA,NA,NA,2021-12-24
2021-03-27,vic,9073,0.16,0.02,2021-12-24
2021-03-28,act,NA,NA,NA,2021-12-24
2021-03-28,qld,7000,0.16,NA,2021-12-24
2021-03-28,nsw,NA,NA,NA,2021-12-24
2021-03-28,vic,9612,0.17,0.01,2021-12-24
2021-03-29,act,NA,NA,NA,2021-12-24
2021-03-29,qld,7000,0.16,0,2021-12-24
2021-03-29,nsw,NA,NA,NA,2021-12-24
2021-03-29,vic,11108,0.19,0.02,2021-12-24
2021-03-30,act,NA,NA,NA,2021-12-24
2021-03-30,qld,7000,0.16,0,2021-12-24
2021-03-30,nsw,NA,NA,NA,2021-12-24
2021-03-30,vic,12782,0.22,0.03,2021-12-24
2021-03-31,act,NA,NA,NA,2021-12-24
2021-03-31,qld,7000,0.16,0,2021-12-24
2021-03-31,nsw,NA,NA,NA,2021-12-24
2021-03-31,vic,15448,0.27,0.05,2021-12-24
2021-04-01,act,NA,NA,NA,2021-12-24
2021-04-01,qld,7000,0.16,0,2021-12-24
2021-04-01,nsw,29796,0.43,NA,2021-12-24
2021-04-01,vic,18059,0.32,0.05,2021-12-24
2021-04-02,act,NA,NA,NA,2021-12-24
2021-04-02,qld,7000,0.16,0,2021-12-24
2021-04-02,nsw,30383,0.44,0.01,2021-12-24
2021-04-02,vic,18413,0.32,0,2021-12-24
2021-04-03,act,NA,NA,NA,2021-12-24
2021-04-03,qld,7000,0.16,0,2021-12-24
2021-04-03,nsw,31212,0.45,0.01,2021-12-24
2021-04-03,vic,18414,0.32,0,2021-12-24
2021-04-04,act,NA,NA,NA,2021-12-24
2021-04-04,qld,7000,0.16,0,2021-12-24
2021-04-04,nsw,31212,0.45,0,2021-12-24
2021-04-04,vic,18726,0.33,0.01,2021-12-24
2021-04-05,act,NA,NA,NA,2021-12-24
2021-04-05,qld,7000,0.16,0,2021-12-24
